rank	book_id	score	preview	start_line
1	9380	14.487690	JABBERWOCKY Lewis Carroll	59
2	35418	14.196012	"and if the story had no other merit, ""The Jabberwocky"" alone would have"	3593
3	36308	13.606559	JABBERWOCKY 29	112
4	11483	13.446472	"the Looking-Glass""--""Jabberwocky"" in Latin--C.S."	195
5	20353	13.268868	Jabberwocky Lewis Carroll 19	86
6	70244	13.105468	The second movement, _Jabberwocky_, is without doubt the masterpiece	735
7	12	11.787682	JABBERWOCKY.	442
8	31034	11.370782	_facile princeps_--not only by reason of the immortal 'Jabberwocky,' but	3720
9	23972	10.959886	The Jabberwocky of Authors _Harry Persons Taber_ 437	636
10	23545	10.867290	"Dong with the Luminous Nose"" and Carroll's ""Jabberwocky"" are,"	112
11	30778	10.788835	"Nothing of its kind better than ""Jabberwocky"" has ever been written,"	1257
12	35688	10.491314	JABBERWOCKY	504
13	10688	10.456862	and Avernus, Jabberwocky, Hornets, Nevermore, Gibraltar, Tamaracks,	462
14	32587	10.056816	Jabberwocky emerged from the loudspeaker, ending in a chorus of,	2457
15	61325	9.589397	"did ""gyre and gimbel"" in the immortal poem ""Jabberwocky."""	7357
16	59004	9.478186	immortal poem, “Jabberwocky,” has become a classic; but even in that	253
17	12245	9.456493	'Jabberwocky.' Carroll, with a sense of mathematical neatness, makes his	1029
18	42574	9.130727	walk I'll go with you and do what I can in case the Jabberwocky or the	3606
19	43223	9.062660	JABBERWOCKY.	15223
20	41861	9.000921	toothless Jabberwocky. Miss Talbot tried the effect of cool, insistent	3089
21	13784	8.051491	of the Jabberwocky of the Rennes court-martial as it is reported in	98
22	72054	7.949070	Jabberwocky.	4650
23	51248	7.807986	"the Carpenter,"" ""Jabberwocky."""	958
24	56208	7.576176	II. Jabberwocky	13472
25	68163	7.574151	_JABBERWOCKY_	20612
26	35138	7.533814	"Jabberwocky""; even grown-ups dote on ""Little Billee,"" as Thackeray"	730
27	70546	7.485196	JABBERWOCKY.	8774
28	23800	7.230108	"Lewis Carroll's immortal ""Jabberwocky"" shows much rich humor of the"	3594
29	35341	7.127711	"""The Jabberwocky,"" _Alice in Wonderland_."	6467
30	54133	6.827203	Carpenter,” and Marie-Celeste's in the recitation of “Jabberwocky”	6389
31	23780	6.590695	the forest, and their language was decidedly Jabberwocky. The little	3904
32	6588	6.579489	Jabberwocky	399
33	37664	6.151508	"""Good Lord! What can I say? I can recite the Jabberwocky or the alphabet"	4402
34	65688	5.710288	sense in which we talk of the nonsense of Jabberwocky or the Land where	3853
35	50807	5.686422	night I would repeat the Jabberwocky. It had taken me a whole week	988
36	25730	5.473740	pleasurable one word jabberwocky despite the fiercely driven	813
37	70887	5.388908	The Jabberwocky (Dodgson)	13325
38	66346	4.934810	the second movement, “Jabberwocky,” the theme of the frightful beast,	12713
39	33385	4.659630	wording, as in 'Jabberwocky'), or in heaps of versified	8847
40	38	4.413555	":burble: [from Lewis Carroll's ""Jabberwocky""] v. Like {flame},"	3965
41	817	4.022690	":burble: /v./ [from Lewis Carroll's ""Jabberwocky""] Like"	2965
42	32267	3.956371	"""Jabberwocky."" Carroll, with a sense of mathematical neatness, makes"	18104
43	3008	3.418107	"[from Lewis Carroll's ""Jabberwocky""] Like flame, but connotes that the source is truly"	8680
