rank	book_id	score	preview	start_line
1	36308	0.102427	JABBERWOCKY 29	112
2	20353	0.063550	Jabberwocky Lewis Carroll 19	86
3	35418	0.059429	"and if the story had no other merit, ""The Jabberwocky"" alone would have"	3593
4	70244	0.055604	The second movement, _Jabberwocky_, is without doubt the masterpiece	735
5	12	0.053911	JABBERWOCKY.	442
6	11483	0.046270	"the Looking-Glass""--""Jabberwocky"" in Latin--C.S."	195
7	9380	0.044614	JABBERWOCKY Lewis Carroll	59
8	35688	0.039043	JABBERWOCKY	504
9	30778	0.038377	"Nothing of its kind better than ""Jabberwocky"" has ever been written,"	1257
10	31034	0.037111	_facile princeps_--not only by reason of the immortal 'Jabberwocky,' but	3720
11	10688	0.034291	and Avernus, Jabberwocky, Hornets, Nevermore, Gibraltar, Tamaracks,	462
12	23545	0.032801	"Dong with the Luminous Nose"" and Carroll's ""Jabberwocky"" are,"	112
13	12245	0.028547	'Jabberwocky.' Carroll, with a sense of mathematical neatness, makes his	1029
14	32587	0.027997	Jabberwocky emerged from the loudspeaker, ending in a chorus of,	2457
15	42574	0.025726	walk I'll go with you and do what I can in case the Jabberwocky or the	3606
16	41861	0.024814	toothless Jabberwocky. Miss Talbot tried the effect of cool, insistent	3089
17	61325	0.022630	"did ""gyre and gimbel"" in the immortal poem ""Jabberwocky."""	7357
18	23972	0.021880	The Jabberwocky of Authors _Harry Persons Taber_ 437	636
19	54133	0.021603	Carpenter,” and Marie-Celeste's in the recitation of “Jabberwocky”	6389
20	43223	0.021285	JABBERWOCKY.	15223
21	6588	0.020311	Jabberwocky	399
22	35341	0.019325	"""The Jabberwocky,"" _Alice in Wonderland_."	6467
23	37664	0.018903	"""Good Lord! What can I say? I can recite the Jabberwocky or the alphabet"	4402
24	23780	0.018705	the forest, and their language was decidedly Jabberwocky. The little	3904
25	51248	0.018473	"the Carpenter,"" ""Jabberwocky."""	958
26	35138	0.017781	"Jabberwocky""; even grown-ups dote on ""Little Billee,"" as Thackeray"	730
27	70546	0.017626	JABBERWOCKY.	8774
28	56208	0.017301	II. Jabberwocky	13472
29	68163	0.017277	_JABBERWOCKY_	20612
30	65688	0.016119	sense in which we talk of the nonsense of Jabberwocky or the Land where	3853
31	59004	0.015489	immortal poem, “Jabberwocky,” has become a classic; but even in that	253
32	50807	0.014212	night I would repeat the Jabberwocky. It had taken me a whole week	988
33	23800	0.013632	"Lewis Carroll's immortal ""Jabberwocky"" shows much rich humor of the"	3594
34	13784	0.011941	of the Jabberwocky of the Rennes court-martial as it is reported in	98
35	25730	0.011463	pleasurable one word jabberwocky despite the fiercely driven	813
36	70887	0.011049	The Jabberwocky (Dodgson)	13325
37	32267	0.010755	"""Jabberwocky."" Carroll, with a sense of mathematical neatness, makes"	18104
38	33385	0.010616	wording, as in 'Jabberwocky'), or in heaps of versified	8847
39	66346	0.008645	the second movement, “Jabberwocky,” the theme of the frightful beast,	12713
40	72054	0.006788	Jabberwocky.	4650
41	38	0.006563	":burble: [from Lewis Carroll's ""Jabberwocky""] v. Like {flame},"	3965
42	817	0.006126	":burble: /v./ [from Lewis Carroll's ""Jabberwocky""] Like"	2965
43	3008	0.005259	"[from Lewis Carroll's ""Jabberwocky""] Like flame, but connotes that the source is truly"	8680
